2017-12-06 10:30:04.346 GMT+08:00 Wed |    Debug | T0000022928 | ..\src\aspera_manager.cpp:AsperaManager::init:00419 | [manager] init success
2017-12-06 10:30:04.346 GMT+08:00 Wed |    Debug | T0000010440 | ..\src\aspera_manager.cpp:download_thread_run:00210 | download thread - 0 run begin
2017-12-06 10:30:04.346 GMT+08:00 Wed |    Debug | T0000011864 | ..\src\aspera_manager.cpp:AsperaManager::do_check:01140 | [manager] do check thread - 0 begin
2017-12-06 10:30:04.346 GMT+08:00 Wed |    Debug | T0000006012 | ..\src\aspera_manager.cpp:AsperaManager::do_upload:01247 | [manager] do upload thread - 0 begin
2017-12-06 10:30:04.348 GMT+08:00 Wed |    Debug | T0000022928 | ..\src\aspera_manager.cpp:AsperaManager::push_download_task:00820 | push download [task:1, job:0] success
2017-12-06 10:30:04.348 GMT+08:00 Wed |    Debug | T0000010440 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01415 | [manager] do download thread - 0 begin
2017-12-06 10:30:04.349 GMT+08:00 Wed |    Debug | T0000010440 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01438 | [download | thread - 0 | downloader - 7486664] task info: [storage:34316, user:1813119, task:1] (9771291_jad_ba_0090_lgt_landingboat_v007_lps/masterLayer/v008/fullres/DEEP) -> (Y:/jade_jad-3888/ba/0090/elements/3d/lgt_landingboat/masterLayer/v008/fullres/DEEP)
2017-12-06 10:30:04.349 GMT+08:00 Wed |    Debug | T0000010440 | ..\src\aspera_manager.cpp:AsperaManager::do_download:01453 | [download | thread - 0 | downloader - 7486664] download begin: [task:1, job:0] (9771291_jad_ba_0090_lgt_landingboat_v007_lps/masterLayer/v008/fullres/DEEP)
2017-12-06 10:30:04.367 GMT+08:00 Wed |    Debug | T0000010440 | ..\src\aspera_session.cpp:IAsperaSession::send_connect_request:00184 | [downloader - 7486664] send connect request, max transmit speed: 1048576KB/S
2017-12-06 10:30:08.708 GMT+08:00 Wed |    Debug | T0000010440 | ..\src\aspera_session.cpp:IAsperaSession::send_connect_request:00209 | [downloader - 7486664] create aspera session with server [101.201.149.28] success: {5335f872-15f1-4557-b917-59cbd637d507}
2017-12-06 10:30:08.709 GMT+08:00 Wed |    Debug | T0000024104 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00088 | [downloader - 7486664] send connect request
2017-12-06 10:30:09.085 GMT+08:00 Wed |    Debug | T0000024104 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00080 | [downloader - 7486664] recv connect response: session name {5335f872-15f1-4557-b917-59cbd637d507}
2017-12-06 10:30:09.086 GMT+08:00 Wed |    Debug | T0000024104 | ..\src\aspera_downloader.cpp:AsperaDownloader::aspera_callback:00081 | [downloader - 7486664] target transfer rate modified to 125000KB/S
